,ElectDist,Reported %,Nicola (Democratic),Jeremy (Democratic),Chris (Republican >:) ),WRITE-IN,AD,ED
0,23001,0.5956907070662958,59.0,37.0,9.0,3.0,23,1
1,23002,0.05146128009713835,31.0,49.0,46.0,0.0,23,2
2,23003,0.7905483133818603,10.0,53.0,14.0,4.0,23,3
3,23004,0.964908562673706,19.0,37.0,3.0,4.0,23,4
4,23005,0.6159914687853573,13.0,10.0,37.0,3.0,23,5
5,23006,0.45925047150958165,95.0,51.0,42.0,4.0,23,6
6,23007,0.4173595903024059,87.0,39.0,58.0,5.0,23,7
7,23008,0.10234319641890088,59.0,62.0,42.0,3.0,23,8
8,23009,0.2760762472714213,32.0,50.0,18.0,0.0,23,9
9,23010,0.09193855599655942,79.0,12.0,41.0,5.0,23,10
10,23011,0.025271261442262993,45.0,40.0,55.0,5.0,23,11
11,23012,0.646864764012818,25.0,51.0,29.0,2.0,23,12
12,23013,0.608128109973209,59.0,31.0,53.0,3.0,23,13
13,23014,0.4691326615203183,50.0,8.0,26.0,1.0,23,14
14,23015,0.26449942696482154,31.0,1.0,46.0,1.0,23,15
15,23016,0.11210995048306671,12.0,51.0,54.0,0.0,23,16
16,23017,0.35025301969510303,17.0,43.0,36.0,2.0,23,17
17,23018,0.2129523815586527,41.0,70.0,59.0,2.0,23,18
18,23019,0.06033996999606395,81.0,6.0,17.0,2.0,23,19
19,23020,0.4878700351184819,88.0,5.0,19.0,2.0,23,20
20,23021,0.06717240492362264,20.0,34.0,15.0,3.0,23,21
21,23022,0.8308823536908557,98.0,71.0,21.0,5.0,23,22
22,23023,0.374767151052425,6.0,37.0,9.0,5.0,23,23
23,23024,0.7136264513961517,50.0,5.0,37.0,4.0,23,24
24,23025,0.06724368272072978,58.0,17.0,24.0,2.0,23,25
25,23026,0.34335782903437917,39.0,18.0,44.0,0.0,23,26
26,23027,0.7938860994612335,11.0,56.0,6.0,0.0,23,27
27,23028,0.2949782948309754,67.0,39.0,32.0,0.0,23,28
28,23029,0.5351087763563244,83.0,38.0,9.0,2.0,23,29
29,23030,0.8101777230670898,31.0,17.0,47.0,3.0,23,30
30,23031,0.8499206560715272,65.0,56.0,31.0,5.0,23,31
31,23032,0.39557898895063504,77.0,7.0,8.0,5.0,23,32
32,23033,0.03746392822395728,3.0,0.0,23.0,4.0,23,33
33,23034,0.47140594705006444,24.0,15.0,40.0,5.0,23,34
34,23035,0.42702242372417665,81.0,61.0,2.0,1.0,23,35
35,23036,0.2283999291841048,87.0,61.0,52.0,0.0,23,36
36,23037,0.09681867993700288,31.0,39.0,18.0,1.0,23,37
37,23038,0.9153483572412886,42.0,76.0,12.0,5.0,23,38
38,23039,0.8153727481390765,26.0,72.0,2.0,5.0,23,39
39,23040,0.15918581053813974,64.0,38.0,36.0,4.0,23,40
40,23041,0.12939325756336428,67.0,6.0,22.0,4.0,23,41
41,23042,0.2853851539501744,89.0,12.0,20.0,1.0,23,42
42,23043,0.1564108193446263,82.0,60.0,13.0,5.0,23,43
43,23044,0.8444070322392131,52.0,34.0,39.0,2.0,23,44
44,23045,0.06599062583979554,76.0,40.0,37.0,3.0,23,45
45,23046,0.9944983773762867,36.0,57.0,3.0,3.0,23,46
46,23047,0.6546936708068348,39.0,18.0,17.0,5.0,23,47
47,23048,0.19198875206588994,37.0,69.0,13.0,1.0,23,48
48,23049,0.7191694873217979,27.0,68.0,8.0,4.0,23,49
49,23050,0.20171243879086231,44.0,45.0,57.0,1.0,23,50
50,23051,0.41451689383009094,87.0,55.0,49.0,1.0,23,51
51,23052,0.19966916048032235,47.0,24.0,50.0,1.0,23,52
52,23053,0.2098495822024794,28.0,17.0,33.0,2.0,23,53
53,23054,0.3626845593212845,52.0,17.0,46.0,4.0,23,54
54,23055,0.0656875932768839,30.0,31.0,18.0,3.0,23,55
55,23056,0.031468501805736016,82.0,4.0,5.0,3.0,23,56
56,23057,0.9320275666169002,4.0,55.0,52.0,2.0,23,57
57,23058,0.029340977929275258,5.0,67.0,7.0,3.0,23,58
58,23059,0.5640493424439151,69.0,15.0,7.0,2.0,23,59
59,23060,0.06447388186500269,17.0,31.0,49.0,2.0,23,60
60,23061,0.6875895020872895,92.0,71.0,4.0,3.0,23,61
61,23062,0.5513216451278127,50.0,66.0,6.0,3.0,23,62
62,23063,0.7787042444715179,6.0,77.0,49.0,4.0,23,63
63,23064,0.8285279004769277,62.0,4.0,59.0,3.0,23,64
64,23065,0.008902214215767423,70.0,53.0,7.0,4.0,23,65
65,23066,0.17350885870868793,58.0,23.0,14.0,1.0,23,66
66,24001,0.13334822802324553,37.0,69.0,9.0,3.0,24,1
67,24002,0.7409124020281538,89.0,74.0,53.0,1.0,24,2
68,24003,0.9283486640655372,72.0,20.0,6.0,3.0,24,3
69,24004,0.24131142891731927,10.0,5.0,8.0,1.0,24,4
70,24005,0.7217620873681811,47.0,1.0,15.0,0.0,24,5
71,24006,0.25772300669411086,90.0,58.0,42.0,2.0,24,6
72,24007,0.6855933940101744,33.0,16.0,33.0,3.0,24,7
73,24008,0.4327333176545951,16.0,19.0,0.0,2.0,24,8
74,24009,0.4601305230650232,6.0,43.0,6.0,4.0,24,9
75,24010,0.4319729038192396,48.0,41.0,6.0,5.0,24,10
76,24011,0.20935832394955056,76.0,3.0,18.0,2.0,24,11
77,24012,0.27269118263540626,94.0,74.0,28.0,2.0,24,12
78,24013,0.8673778484537344,98.0,79.0,31.0,3.0,24,13
79,24014,0.033942848188012076,45.0,51.0,20.0,1.0,24,14
80,24015,0.09665154604386583,30.0,49.0,7.0,2.0,24,15
81,24016,0.2723118101352612,62.0,78.0,17.0,2.0,24,16
82,24017,0.1321388545136546,14.0,73.0,34.0,4.0,24,17
83,24018,0.5403167973996614,99.0,47.0,22.0,5.0,24,18
84,24019,0.503984934153702,69.0,11.0,47.0,5.0,24,19
85,24020,0.35585917909185827,34.0,27.0,20.0,4.0,24,20
86,24021,0.4542322857309028,99.0,11.0,39.0,4.0,24,21
87,24022,0.6711332316564697,68.0,40.0,19.0,2.0,24,22
88,24023,0.35038346631924144,29.0,24.0,21.0,1.0,24,23
89,24024,0.3750894857823567,85.0,35.0,16.0,3.0,24,24
90,24025,0.532302612981449,87.0,46.0,19.0,2.0,24,25
91,24026,0.4629003192746858,61.0,47.0,43.0,4.0,24,26
92,24027,0.11589071809573392,23.0,73.0,22.0,3.0,24,27
93,24028,0.6730457520340845,85.0,12.0,29.0,4.0,24,28
94,24029,0.10870873518773949,17.0,16.0,44.0,0.0,24,29
95,24030,0.700860899962399,89.0,50.0,30.0,1.0,24,30
96,24031,0.8759789790744571,30.0,5.0,33.0,3.0,24,31
97,24032,0.3876368666297335,54.0,53.0,38.0,5.0,24,32
98,24033,0.8626064545148207,17.0,13.0,25.0,5.0,24,33
99,24034,0.2975029617313021,77.0,46.0,44.0,4.0,24,34
100,24035,0.4319271744738976,84.0,74.0,40.0,5.0,24,35
101,24036,0.1502965605441512,93.0,57.0,46.0,0.0,24,36
102,24037,0.2165656245539993,38.0,62.0,19.0,1.0,24,37
103,24038,0.9219081366738293,78.0,5.0,35.0,3.0,24,38
104,24039,0.7161835912035778,38.0,26.0,49.0,2.0,24,39
105,24040,0.7404391377229801,70.0,76.0,32.0,4.0,24,40
106,24041,0.22953532602266535,73.0,57.0,30.0,3.0,24,41
107,24042,0.5466705085701641,0.0,71.0,17.0,2.0,24,42
108,24043,0.43296489441863284,2.0,3.0,52.0,3.0,24,43
109,24044,0.017965850237139702,62.0,69.0,52.0,2.0,24,44
110,24045,0.049557989690419135,52.0,47.0,16.0,3.0,24,45
111,24046,0.23814088839099945,96.0,24.0,29.0,2.0,24,46
112,24047,0.6296408306713985,62.0,49.0,28.0,5.0,24,47
113,24048,0.5814621021333239,53.0,54.0,27.0,0.0,24,48
114,24049,0.07014383533877389,12.0,3.0,33.0,3.0,24,49
115,24050,0.8453492916775054,34.0,77.0,13.0,4.0,24,50
116,24051,0.8053775414308765,46.0,36.0,15.0,1.0,24,51
117,24052,0.12333759208286665,17.0,51.0,58.0,0.0,24,52
118,24053,0.3478114512918029,28.0,72.0,34.0,0.0,24,53
119,24054,0.8777810896685916,56.0,79.0,15.0,3.0,24,54
120,24055,0.025720460919210653,44.0,62.0,40.0,2.0,24,55
121,24056,0.24148981359587396,55.0,72.0,47.0,0.0,24,56
122,24057,0.36949253933638515,38.0,40.0,58.0,3.0,24,57
123,24058,0.5040586154793445,15.0,1.0,48.0,5.0,24,58
124,24059,0.33278103097187706,20.0,10.0,8.0,4.0,24,59
125,24060,0.17483925061616123,74.0,54.0,32.0,3.0,24,60
126,24061,0.1866429582379272,4.0,23.0,57.0,3.0,24,61
127,24062,0.4601960789170424,23.0,67.0,27.0,1.0,24,62
128,24063,0.016030213006579475,30.0,24.0,50.0,2.0,24,63
129,24064,0.6626250792857544,77.0,27.0,17.0,2.0,24,64
130,24065,0.4224117776595355,36.0,2.0,11.0,1.0,24,65
131,25001,0.9508352610540072,30.0,44.0,11.0,4.0,25,1
132,25002,0.003410693359445771,53.0,70.0,14.0,2.0,25,2
133,25003,0.8244379028308074,94.0,44.0,35.0,5.0,25,3
134,25004,0.5838306678235089,16.0,75.0,53.0,0.0,25,4
135,25005,0.9884570821564959,93.0,54.0,35.0,4.0,25,5
136,25006,0.21216706506560257,76.0,38.0,23.0,4.0,25,6
137,25007,0.4748527929337697,61.0,67.0,48.0,0.0,25,7
138,25008,0.3165887496046379,0.0,64.0,48.0,4.0,25,8
139,25009,0.399088229233005,94.0,62.0,47.0,5.0,25,9
140,25010,0.9662733354862189,22.0,4.0,55.0,1.0,25,10
141,25011,0.8568891524053751,1.0,46.0,29.0,4.0,25,11
142,25012,0.5597688640478202,92.0,15.0,37.0,3.0,25,12
143,25013,0.05564955425284934,72.0,59.0,42.0,1.0,25,13
144,25014,0.35543193150006636,40.0,21.0,36.0,1.0,25,14
145,25015,0.9645233552111967,28.0,38.0,9.0,3.0,25,15
146,25016,0.5551950627964896,89.0,53.0,26.0,2.0,25,16
147,25017,0.36387534733296456,81.0,7.0,47.0,2.0,25,17
