,ED,Reported %,Zohran Kwame Mamdani,Scott Stringer,Selma Bartholomew,Zellnor Myrie,Adrienne Adams,Andrew Cuomo,Jessica Ramos,Whitney Tilson,Michael Blake,Brad Lander,Paperboy Price,WRITE-IN,AD,ElectDist
2,1,0.99,31,7,0,1,0,121,0,4,3,23,7,1,23,23001
3,2,0.99,25,6,1,0,6,108,0,5,1,14,1,1,23,23002
4,3,0.99,10,3,0,0,2,25,1,2,0,5,0,1,23,23003
5,4,0.75,42,8,0,1,3,158,0,3,1,25,3,0,23,23004
6,5,0.75,37,7,0,0,0,170,1,6,1,32,3,1,23,23005
7,6,0.75,43,11,1,0,5,158,0,2,0,15,3,0,23,23006
8,7,0.75,50,16,0,1,3,129,0,6,2,27,3,2,23,23007
9,8,0.99,67,6,1,0,12,94,0,3,0,32,1,0,23,23008
10,9,0.99,83,3,0,1,9,70,2,1,1,12,1,0,23,23009
11,10,0.8332999999999999,59,12,0,1,19,106,1,2,2,14,3,0,23,23010
12,11,0.8332999999999999,69,1,1,1,9,72,1,2,1,6,1,0,23,23011
13,12,0.8332999999999999,28,0,0,0,7,35,2,2,0,7,0,1,23,23012
14,13,0.8332999999999999,86,4,0,5,14,65,0,1,1,19,2,1,23,23013
15,14,0.8332999999999999,32,6,2,0,12,97,0,0,0,6,0,1,23,23014
16,15,0.99,56,9,0,0,17,114,0,0,4,7,2,0,23,23015
17,16,0.99,41,3,0,0,13,60,1,0,0,10,2,1,23,23016
18,17,0.99,21,3,0,0,2,59,0,2,0,9,0,2,23,23017
19,18,0.99,127,7,0,2,22,104,2,3,5,31,0,0,23,23018
20,19,0.99,14,1,1,0,2,15,0,0,0,2,0,1,23,23019
21,20,0.99,25,0,0,1,7,52,0,0,0,1,0,0,23,23020
22,21,0.99,14,3,2,0,7,115,1,0,0,1,0,0,23,23021
23,22,0.99,17,0,0,0,11,61,0,0,0,1,0,1,23,23022
24,23,0.99,8,3,0,1,8,78,0,0,0,3,2,0,23,23023
25,24,0.99,19,0,0,1,12,60,1,0,0,0,0,0,23,23024
26,25,0.99,31,1,0,2,38,168,3,1,0,1,0,0,23,23025
27,26,0.99,17,2,0,0,16,111,0,0,0,4,0,0,23,23026
28,27,0.99,7,2,0,0,23,312,3,4,1,6,0,1,23,23027
29,28,0.99,28,0,1,0,20,153,1,0,1,1,0,0,23,23028
30,29,0.99,5,2,1,1,37,364,1,5,0,2,0,0,23,23029
31,30,0.99,14,5,0,0,29,210,0,3,1,5,1,2,23,23030
32,31,0.99,48,2,0,0,23,218,0,0,1,2,0,2,23,23031
33,32,0.99,41,4,1,0,35,243,1,6,0,7,2,2,23,23032
34,33,0.99,29,1,0,0,1,62,1,0,1,6,1,2,23,23033
35,34,0.99,41,1,0,0,1,84,0,0,0,4,0,0,23,23034
