,ED,Reported %,Ling Ye,Alexa Avilés,WRITE-IN,AD,ElectDist
2,20,0.4286,34,106,2,44,44020
3,21,0.4286,42,235,2,44,44021
2,25,0.8332999999999999,22,26,0,46,46025
3,26,0.99,71,77,0,46,46026
2,4,0.6,21,10,0,47,47004
3,6,0.8,10,6,0,47,47006
4,8,0.99,36,22,0,47,47008
5,12,0.99,85,73,0,47,47012
6,13,0.99,50,49,1,47,47013
7,18,0.5,2,6,0,47,47018
2,1,0.5,9,18,1,49,49001
3,3,0.8,4,1,0,49,49003
4,13,0.99,11,5,0,49,49013
5,14,0.99,30,23,0,49,49014
6,29,0.6,17,21,0,49,49029
7,30,0.6,16,15,0,49,49030
8,33,0.5,15,19,0,49,49033
9,34,0.8571,14,13,0,49,49034
10,35,0.8332999999999999,40,30,0,49,49035
11,36,0.5,21,27,1,49,49036
12,37,0.5,32,28,0,49,49037
13,39,0.99,94,77,0,49,49039
14,40,0.8332999999999999,29,26,0,49,49040
15,41,0.5,14,38,0,49,49041
16,42,0.5,23,17,1,49,49042
17,43,0.5,17,11,1,49,49043
18,45,0.99,34,18,0,49,49045
19,51,0.6,19,18,1,49,49051
20,52,0.99,19,26,0,49,49052
21,53,0.8,0,0,0,49,49053
2,5,0.6,5,19,0,51,51005
3,6,0.6,8,68,0,51,51006
4,7,0.6,34,94,1,51,51007
5,8,0.6,16,68,0,51,51008
6,9,0.6,13,64,0,51,51009
7,10,0.4286,20,26,0,51,51010
8,11,0.4286,29,72,0,51,51011
9,12,0.4286,15,55,0,51,51012
10,13,0.5,9,85,0,51,51013
11,14,0.5,9,42,0,51,51014
12,15,0.5,8,50,0,51,51015
13,16,0.5,19,70,0,51,51016
14,17,0.5,8,105,0,51,51017
15,18,0.99,11,170,0,51,51018
16,19,0.99,19,114,1,51,51019
17,20,0.8,31,150,0,51,51020
18,21,0.6,56,231,2,51,51021
19,22,0.6,81,216,2,51,51022
20,23,0.6,27,131,1,51,51023
21,24,0.6667000000000001,60,201,1,51,51024
22,26,0.5,75,261,5,51,51026
23,27,0.6667000000000001,25,63,0,51,51027
24,28,0.4286,78,315,4,51,51028
25,32,0.8,6,34,0,51,51032
26,33,0.8,22,119,0,51,51033
27,34,0.8,10,45,0,51,51034
28,35,0.8,5,34,0,51,51035
29,36,0.99,39,208,4,51,51036
30,37,0.6,26,47,0,51,51037
31,38,0.6,22,49,0,51,51038
32,39,0.6,5,11,0,51,51039
33,44,0.5,27,201,0,51,51044
34,45,0.5,16,77,1,51,51045
35,46,0.5,7,44,0,51,51046
36,47,0.6,18,61,0,51,51047
37,48,0.5,11,31,1,51,51048
38,49,0.99,18,45,0,51,51049
39,50,0.6,3,16,1,51,51050
40,51,0.6,14,15,1,51,51051
41,52,0.99,52,107,1,51,51052
42,53,0.8,18,29,1,51,51053
43,54,0.8,0,0,0,51,51054
2,13,0.375,2,25,1,52,52013
2,100,0.8,0,0,0,61,61100
3,101,0.8,0,0,0,61,61101
4,103,0.6,0,0,0,61,61103
5,104,0.6,0,0,0,61,61104
6,105,0.5,0,0,0,61,61105
7,106,0.5,0,0,0,61,61106
8,107,0.5,0,0,0,61,61107
9,108,0.5,0,0,0,61,61108
10,109,0.6,0,0,0,61,61109
11,110,0.6,0,0,0,61,61110
12,111,0.6,0,0,0,61,61111
13,112,0.8,0,0,0,61,61112
