Election_District,ED_Number,Candidate_ID,Candidate_Name,Votes,Percentage,Total_Ballots_in_ED,Total_Valid_Votes_in_ED
ED: 001,1,TOTAL_VALID,TOTAL VALID VOTES,296,100.0,304,296
ED: 001,1,254286,Zohran Kwame Mamdani (254286),168,56.76,304,296
ED: 001,1,254052,Andrew M. Cuomo (254052),90,30.41,304,296
ED: 001,1,254130,Brad Lander (254130),14,4.73,304,296
ED: 001,1,257465,Adrienne E. Adams (257465),7,2.36,304,296
ED: 001,1,254393,Scott M. Stringer (254393),6,2.03,304,296
ED: 001,1,254365,Jessica Ramos (254365),4,1.35,304,296
ED: 001,1,255950,Zellnor Myrie (255950),2,0.68,304,296
ED: 001,1,257441,Whitney R. Tilson (257441),2,0.68,304,296
ED: 001,1,258719,Paperboy Love Prince (258719),2,0.68,304,296
ED: 001,1,overvote,Candidate overvote,1,0.34,304,296
ED: 002,2,TOTAL_VALID,TOTAL VALID VOTES,229,100.0,234,229
ED: 002,2,254286,Zohran Kwame Mamdani (254286),176,76.86,234,229
ED: 002,2,254052,Andrew M. Cuomo (254052),24,10.48,234,229
ED: 002,2,254130,Brad Lander (254130),18,7.86,234,229
ED: 002,2,255950,Zellnor Myrie (255950),3,1.31,234,229
ED: 002,2,254365,Jessica Ramos (254365),3,1.31,234,229
ED: 002,2,254393,Scott M. Stringer (254393),2,0.87,234,229
ED: 002,2,257441,Whitney R. Tilson (257441),2,0.87,234,229
ED: 002,2,257465,Adrienne E. Adams (257465),1,0.44,234,229
ED: 003,3,TOTAL_VALID,TOTAL VALID VOTES,465,100.0,475,465
ED: 003,3,254286,Zohran Kwame Mamdani (254286),308,66.24,475,465
ED: 003,3,254052,Andrew M. Cuomo (254052),83,17.85,475,465
ED: 003,3,254130,Brad Lander (254130),56,12.04,475,465
ED: 003,3,257465,Adrienne E. Adams (257465),6,1.29,475,465
ED: 003,3,255950,Zellnor Myrie (255950),4,0.86,475,465
ED: 003,3,254607,Michael Blake (254607),3,0.65,475,465
ED: 003,3,258719,Paperboy Love Prince (258719),1,0.22,475,465
ED: 003,3,254393,Scott M. Stringer (254393),1,0.22,475,465
ED: 003,3,Write-in,Candidate Write-in,1,0.22,475,465
ED: 003,3,overvote,Candidate overvote,1,0.22,475,465
ED: 003,3,257441,Whitney R. Tilson (257441),1,0.22,475,465
ED: 004,4,TOTAL_VALID,TOTAL VALID VOTES,417,100.0,422,417
ED: 004,4,254286,Zohran Kwame Mamdani (254286),250,59.95,422,417
ED: 004,4,254052,Andrew M. Cuomo (254052),80,19.18,422,417
ED: 004,4,254130,Brad Lander (254130),62,14.87,422,417
ED: 004,4,257465,Adrienne E. Adams (257465),12,2.88,422,417
ED: 004,4,254393,Scott M. Stringer (254393),6,1.44,422,417
ED: 004,4,254607,Michael Blake (254607),3,0.72,422,417
ED: 004,4,254365,Jessica Ramos (254365),2,0.48,422,417
